word,count
different,78
forms,490
flowers,1000
plants,938
species,545
professor,41
asa,33
gray,35
volume,66
author,7
small,103
respect,61
contents,7
introduction,7
chapter,46
heterostyled,268
dimorphic,45
primulaceae,5
primula,166
veris,60
structure,82
two,747
degrees,6
fertility,149
legitimately,146
illegitimately,150
elatior,43
vulgaris,50
sinensis,43
auricula,33
vitalliana,6
hybrid,59
primulas,5
oxlip,71
naturally,21
produced,339
differences,38
function,32
crossing,10
long-styled,810
short-styled,689
oxlips,32
one,444
another,134
offspring,81
artificially,34
self-fertilised,60
cross-fertilised,9
state,85
shown,68
distinct,101
note,5
spontaneously,44
hybrids,46
genus,73
verbascum,13
linum,47
grandiflorum,24
form,765
utterly,11
sterile,110
own-form,109
perenne,21
torsion,9
pistils,85
officinalis,35
singular,10
difference,140
self-fertility,5
english,9
german,6
angustifolia,20
completely,26
polygonum,18
repens,13
remarkable,54
pollen-grains,195
stamens,558
alone,41
development,20
yet,60
several,147
rubiaceous,12
genera,68
due,20
descent,5
common,78
trimorphic,60
lythrum,68
three,270
power,28
complex,5
manner,116
fertilising,20
unions,164
styled,85
eminently,5
feminine,10
graefferi,6
likewise,61
hyssopifolia,8
verticillata,10
nature,105
regnelli,11
illegitimate,341
quite,66
known,41
include,17
v,46
dwarfed,22
stature,16
sterility,48
barren,21
transmission,16
legitimate,210
degree,78
varieties,38
p,110
farinosa,11
flowered,15
variety,42
seedlings,81
raised,101
successive,23
generations,18
pulmonaria,31
parallelism,7
fertilisation,72
hybridism,5
concluding,10
remarks,34
essential,6
character,36
fertilised,577
size,151
anthers,316
stigma,230
advantages,5
derived,13
means,26
became,16
polygamous,18
dioecious,75
gyno-dioecious,12
conversion,10
various,52
ways,20
hermaphrodite,101
rendered,30
sub-dioecious,9
sub-forms,5
sexes,31
rhamnus,14
female,156
probably,63
corolla,135
cleistogamic,162
general,25
producing,31
vegetable,6
description,13
compared,43
perfect,139
sensitiva,8
observations,31
rarely,13
summary,20
origin,16
chief,6
conclusions,5
may,220
drawn,10
subject,24
present,62
namely,81
differently,22
formed,21
certain,53
kinds,63
either,63
stock,5
ought,27
treated,21
distinction,4
far,64
sexual,31
relations,6
